cultivar,registered,perianth,corona,orig_name,date,synonym,awards,seed_parent,pollen_parent,description
"Aden","2 (b or c)","W","","W.A. Watts","pre1913","none","none","","",""
"Aden","3 (b)","W","R","J.L. Richardson","pre1937","none","none","","","Perianth segments broad, milk white; corona small, disc-shaped, intense scarlet"
"Adieu","9","W","","F.H. Chapman","pre1928","none","none","‘Acme’","Div. 9 sdlg",""
"Adelgar","1 (a)","Y","Y","C. Dawson","pre1920","none","none","","","Perianth soft yellow; corona golden yellow, rim frilled"
"Adastria","0","","","?W.E. Weightman","pre1938","none","none","","",""
"Addio","3 (b)","W","Y","G.L. Wilson","pre1931","none","none","","","Perianth segments pure white, slightly reflexed; corona disc-shaped, soft greenish chrome yellow. Very late"
"Adela","2 (b)","W","Y","P.D. Williams","pre1913","none","AM 1924 ","","","Perianth segments very broadly ovate, blunt, only slightly mucronate, a little reflexed, deeply overlapping; the inner segments inflexed, more or less twisted; corona cylindrical, smooth, whitish yellow, with mouth ribbed and flared, lightly frilled, rim regularly crenate"
"Adelaide","1 (b)","W","Y","West & Fell","pre1935","none","none","","","Corona cream, almost white. Mid-season"
"Adallas","1 (b)","W","","Barr & Sons","pre1923","none","none","","",""
"Adam","3 (a)","Y","R","P.D. Williams","pre1939","none","none","","","Perianth segments bright primrose yellow; corona shallow bowl-shaped, deep red, tinged terracotta"
"Adamant","2 (a)","Y","YYO","J.C. Williams","pre1945","none","*AM(g)  1952 *FCC(g)  1953 ","","","Fl. 100 mm wide; perianth segments broadly ovate, very slightly mucronate, brilliant greenish yellow 6B, spreading or reflexed, plane to twisted, with margins minutely incurling, overlapping one-third to a half; the inner segments a little inflexed, with margins wavy and sometimes strongly recurved; corona somewhat funnel-shaped, smooth or slightly ribbed, much darker in tone (13A) than the perianth, flushed strong orange 24A towards the mouth, mouth slightly expanded, frilled, with rim notched and crenate"
"Adare","3 (a)","Y","R","J.L. Richardson","pre1943","none","none","‘Seraglio’","‘Varna’",""
"Ada","5","W","W","G.H. Engleheart","pre1902","none","FCC 1902 ","","","Fls. usually 2 per stem; perianth segments of waxen texture; corona yellowish white"
"Ada Brooke","1 (b)","W","Y","de Graaff Bros","pre1896","none","none","","","Corona rich orange-yellow. Mid-season"
"Ada Finch","1 (c)","W","W","de Graaff Bros","pre1927","none","AM Haarlem  1927 FCC Haarlem  1930 ","","","Perianth segments narrow, acute, paper white; corona large, opening sulphur yellow, becoming white, mouth heavily frilled. Resembles `King Alfred' in form"
"Adagio","1 (a)","Y","Y","J. Gerritsen & Son","pre1941","none","none","","",""
"Actrice","1 (a)","Y","Y","Konynenburg & Mark","pre1953","none","none","","",""
"Acushla","1 (b)","W","Y","Barr & Sons","pre1923","none","none","","","Corona rich canary yellow"
"Ada","3 (b)","W","Y","W. Backhouse","pre1869","Barrii Albidus `Ada'","none","","",""
"Actinica","2 (a)","Y","","B. Rowlands","pre1938","none","none","","",""
"Action","2 (b)","W","O","W.O. Backhouse","pre1962","none","none","","",""
"Actis","3 (b)","W","","T. Batson","pre1914","none","none","","",""
"Actor","2 (b)","W","","G.T.C. Pearce","pre1938","none","none","‘Call Boy’","‘Suda’",""
"Acolyte","2 (a)","Y","O","West & Fell","pre1931","none","none","","","Perianth segments yellow; corona reddish orange"
"Acoustic","2 (a)","Y","","A.M. Williams","pre1948","none","none","","",""
"Actaea","9","W","YYR","G. Lubbe & Son","pre1919","none","*HC(g)  1947 *AM(g)  1950 *FCC(g)  1968 AGM 1993 AM Haarlem  1919 FCC Haarlem  1923 ","","","Fl. 87 mm wide; perianth segments broadly obovate, blunt or truncate, prominently mucronate, spreading, somewhat concave, glistening, overlapping half; the inner segments narrower, only very slightly mucronate, with margins sometimes reflexed at base and incurling towards apex; corona very shallow, closely ribbed, yellow, with greenish yellow at base and a band of orange-red (33A or B to 42B) at rim, mouth wavy, rim minutely crinkled. Mid-season. Scented. 2n=28"
"Ackhill","2 (b or c)","W","","A.M. Wilson","pre1936","none","AM Haarlem  1936 ","","",""
"Acme","9","W","R","G.H. Engleheart","pre1907","none","none","","","Fl. rounded; perianth segments very broad, blunt or truncate, prominently mucronate, snow white, a little reflexed, overlapping half or more; the inner segments only very slightly mucronate, with margins recurved at base; corona disc-shaped, closely ribbed, solid brick-red or scarlet. Mid-season"
"Acol","2 (b)","W","","F.D.B. Cobb","pre1953","none","none","","",""
"Acolyte","5","W","W","P.D. Williams","pre1927","none","none","Large Leedsii sdlg","{N. triandrus}","Fl. 90 mm wide, facing down; perianth segments creamy white, overlapping half; corona cup-shaped, pale cream. Mid-season to late"
"Achill","2","Y","Y","","","none","none","","",""
"Achilles","1 (a)","Y","Y","Barr & Sons","pre1887","none","none","","","Perianth segments light yellow; corona rich yellow. Early"
"Acis","3 (c)","W","W","W. Backhouse","pre1869","Leedsii `Acis'","none","","","Fl. white; corona opening pale primrose yellow with orange tints, becoming milk white"
"Achelous","8","","","?Dutch origin","pre1931","none","none","","",""
"Ace High","1","W","W","T.H. Piper","c. 1966","none","none","‘Glendermott’","‘Swanlough’",""
"Achates","1 (a)","Y","Y","Barr & Sons","pre1923","none","none","","",""
"Accomac","2 (a)","Y","O","E.C. Powell","pre1949","none","none","‘Bernardino’ x ‘Fortune’","‘Cornish Fire’","Perianth segments rich yellow; corona scarlet-orange"
"Accordica","2 (b or c)","W","","B. Rowlands","pre1939","`Artistica'","none","","",""
"Accident","1 (a)","Y","Y","Sir C.H. Cave","pre1928","none","none","","",""
"Acclaim","1 (a)","Y","Y","G.H. Johnstone","pre1944","none","none","","",""
"Acajou","2 (b)","W","","Konynenburg & Mark","pre1953","none","none","","",""
"Abraz","0","","","R.H. Bath","pre1948","none","none","","",""
"Abschied","3 (b)","W","YOO","A.M. Wilson","pre1908","none","none","Div.9 sdlg","‘Beacon’",""
"Abundance","8","Y","Y","","","none","none","","",""
"Ablush","2","W","P","","","none","none","","",""
"Abo","2 (a)","Y","O","L. Buckland","pre1936","`Plurry'","none","","",""
"Ablaze","2 (a)","Y","","A.F. Calvert","pre1929","none","none","","",""
"Ablaze","2","Y","O","C.O. Fairbairn","c. 1980","none","none","","","Perianth segments broadly ovate, blunt, very slightly mucronate, rich yellow, a little reflexed, smooth and of heavy substance, overlapping one-third to a half; the inner segments not much narrower, square-shouldered at base, more strongly reflexed; corona long cup-shaped, broadly ribbed, reddish orange, mouth straight, wavy. Tall. Mid-season to late"
"Abigail","2","W","P","","c. 1975","none","none","","",""
"Abigail","1 (c)","W","W","A.M. Wilson","pre1910","none","none","","",""
