Binomial, NCBI taxon id, Order, Family, NCBI lineage, Repeat %, Heterozygosity %
Abrostola tripartita,938171,Lepidoptera,Noctuidae,Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Holometabola; Lepidoptera; Glossata; Ditrysia; Noctuoidea; Noctuidae; Plusiinae; Abrostola;,NOT_COLLECTED,HEAD | THORAX
Abrostola tripartita,938171,Lepidoptera,Noctuidae,Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Holometabola; Lepidoptera; Glossata; Ditrysia; Noctuoidea; Noctuidae; Plusiinae; Abrostola;,NOT_COLLECTED,ABDOMEN
Abrostola tripartita,938171,Lepidoptera,Noctuidae,Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Holometabola; Lepidoptera; Glossata; Ditrysia; Noctuoidea; Noctuidae; Plusiinae; Abrostola;,15.15,0.95
Abrostola tripartita,938171,Lepidoptera,Noctuidae,Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Holometabola; Lepidoptera; Glossata; Ditrysia; Noctuoidea; Noctuidae; Plusiinae; Abrostola;,19.16,1.04
Adalia bipunctata,7084,,Coccinellidae,Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Holometabola; Coleoptera; Polyphaga; Cucujiformia; Coccinellidae; Coccinellinae; Coccinellini; Adalia;,not recorded,
Adalia bipunctata,7084,,Coccinellidae,Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Holometabola; Coleoptera; Polyphaga; Cucujiformia; Coccinellidae; Coccinellinae; Coccinellini; Adalia;,2-spot ladybird,Adult
Adalia bipunctata,7084,,Coccinellidae,Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Holometabola; Coleoptera; Polyphaga; Cucujiformia; Coccinellidae; Coccinellinae; Coccinellini; Adalia;,2-spot ladybird,Adult
Adalia bipunctata,7084,,Coccinellidae,Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Holometabola; Coleoptera; Polyphaga; Cucujiformia; Coccinellidae; Coccinellinae; Coccinellini; Adalia;,2-spot ladybird,Adult
Aelia acuminata,1511221,Hemiptera,Pentatomidae,Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Paraneoptera; Hemiptera; Heteroptera; Panheteroptera; Pentatomomorpha; Pentatomoidea; Pentatomidae; Pentatominae; Aelia;,NOT_COLLECTED,WHOLE_ORGANISM
Aelia acuminata,1511221,Hemiptera,Pentatomidae,Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Paraneoptera; Hemiptera; Heteroptera; Panheteroptera; Pentatomomorpha; Pentatomoidea; Pentatomidae; Pentatominae; Aelia;,NOT_COLLECTED,WHOLE_ORGANISM
Aelia acuminata,1511221,Hemiptera,Pentatomidae,Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Paraneoptera; Hemiptera; Heteroptera; Panheteroptera; Pentatomomorpha; Pentatomoidea; Pentatomidae; Pentatominae; Aelia;,42.03,2.46
Aelia acuminata,1511221,Hemiptera,Pentatomidae,Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Paraneoptera; Hemiptera; Heteroptera; Panheteroptera; Pentatomomorpha; Pentatomoidea; Pentatomidae; Pentatominae; Aelia;,50.18,2.72
Aeshna mixta,229377,Odonata,Aeshnidae,Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Palaeoptera; Odonata; Epiprocta; Anisoptera; Aeshnidae; Aeshna;,FEMALE,THORAX
Aeshna mixta,229377,Odonata,Aeshnidae,Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Palaeoptera; Odonata; Epiprocta; Anisoptera; Aeshnidae; Aeshna;,FEMALE,HEAD
Aeshna mixta,229377,Odonata,Aeshnidae,Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Palaeoptera; Odonata; Epiprocta; Anisoptera; Aeshnidae; Aeshna;,FEMALE,ABDOMEN
Aeshna mixta,229377,Odonata,Aeshnidae,Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Palaeoptera; Odonata; Epiprocta; Anisoptera; Aeshnidae; Aeshna;,33.74,0.58
Aglais io,171585,Lepidoptera,Nymphalidae,Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Holometabola; Lepidoptera; Glossata; Ditrysia; Papilionoidea; Nymphalidae; Nymphalinae; Inachis;,FEMALE,WHOLE_ORGANISM
Aglais io,171585,Lepidoptera,Nymphalidae,Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Holometabola; Lepidoptera; Glossata; Ditrysia; Papilionoidea; Nymphalidae; Nymphalinae; Inachis;,NOT_COLLECTED,WHOLE_ORGANISM
Aglais io,171585,Lepidoptera,Nymphalidae,Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Holometabola; Lepidoptera; Glossata; Ditrysia; Papilionoidea; Nymphalidae; Nymphalinae; Inachis;,NOT_COLLECTED,WHOLE_ORGANISM
